,Aare-4-000003,Aha-4-000001,Alsp-4-000002,Aru-a04-002343,,Asu-2-001210,Asu-9-000006,Ath-2-001391,,,Cen-7-002886,Cen-10-002845,Cfle-4-002886,Chivh-2-004894,Cla-7-02636,Cne-2-003890,Cpl-320-000004,Crub-4-000001,Csa-9-003557,Csa-7-002974,Csa-16-002824,Eche-7-002234,Esal-3-000009,Iind-5-003179,Mpe-12-000003,Mpyg-2-000094,Spar-4-000006,Tar-4-002763,,,
,.,Aha-4-001519,Alsp-4-001607,Aru-a04-001295,Aru-b04-001321,Asu-2-002485,Asu-9-001695,Ath-2-002701,Bdiv-4-001416,Bst-4-001384,Cen-3-001447,Cen-10-001476,Cfle-4-001472,Chivh-4-001886,Cla-7-01308,Cne-2-000640,Cpl-393-001265,Crub-4-001469,Csa-5-001698,Csa-7-000545,Csa-16-000544,Eche-7-001283,Esal-3-001655,Iind-5-001415,Mpe-3-000751,Mpyg-2-001445,.,Tar-4-001274,,,
,Aare-4-001490,Aha-4-001520,Alsp-4-001608,Aru-a04-001294,.,Asu-2-002486,Asu-9-001696,Ath-2-002702,Bdiv-4-001415,Bst-4-001385,Cen-3-001448,Cen-10-001475,Cfle-4-001471,.,.,.,Cpl-393-001264,Crub-4-001470,Csa-5-001695,Csa-7-000544,Csa-16-000543,.,Esal-3-001656,Iind-5-001414,Mpe-3-000752,.,Spar-4-001612,Tar-4-001272,,,
,Aare-4-001491,.,Alsp-4-001609,Aru-a04-001293,Aru-b04-001320,Asu-2-002487,Asu-9-001697,Ath-2-002703,Bdiv-4-001414,Bst-4-001386,Cen-3-001449,Cen-10-001474,Cfle-4-001470,Chivh-4-001884,Cla-7-01307,Cne-2-000639,Cpl-393-001263,Crub-4-001471,Csa-5-001694,Csa-7-000543,Csa-16-000542,Eche-7-001282,.,Iind-5-001413,.,Mpyg-2-001444,Spar-4-001611,Tar-4-001271,,,
,.,Aha-4-001521,Alsp-4-001610,Aru-a04-001292,Aru-b04-001319,Asu-2-002488,Asu-9-001698,Ath-2-002704,.,.,Cen-3-001450,Cen-10-001473,Cfle-4-001469,Chivh-4-001883,Cla-7-01306,.,Cpl-393-001262,Crub-4-001472,Csa-5-001693,Csa-7-000542,Csa-16-000541,Eche-7-001281,Esal-3-001657,Iind-5-001412,Mpe-3-000753,Mpyg-2-001443,Spar-4-001610,Tar-4-001270,,,
Aara-9-001266,Aare-4-001492,Aha-4-001522,Alsp-4-001611,Aru-a04-001291,Aru-b04-001318,Asu-2-002489,Asu-9-001699,Ath-2-002705,Bdiv-4-001413,Bst-4-001387,Cen-3-001451,Cen-10-001472,Cfle-4-001468,Chivh-4-001882,Cla-7-01305,Cne-2-000638,Cpl-393-001261,Crub-4-001473,.,Csa-7-000540,Csa-16-000540,Eche-7-001280,Esal-3-001658,Iind-5-001411,Mpe-3-000754,Mpyg-2-001442,Spar-4-001609,Tar-4-001269,,,
Aara-9-001267,Aare-4-001493,Aha-4-001523,Alsp-4-001612,Aru-a04-001290,Aru-b04-001317,Asu-2-002490,Asu-9-001700,Ath-2-002706,Bdiv-4-001412,Bst-4-001388,Cen-3-001452,Cen-10-001471,Cfle-4-001467,Chivh-4-001881,Cla-7-01304,Cne-2-000637,Cpl-393-001260,Crub-4-001474,Csa-5-001692,Csa-7-000539,Csa-16-000539,.,Esal-3-001659,Iind-5-001410,Mpe-3-000755,Mpyg-2-001441,Spar-4-001608,Tar-4-001268,,,
Aara-9-001269,Aare-4-001495,Aha-4-001524,Alsp-4-001614,Aru-a04-001287,Aru-b04-001316,Asu-2-002493,Asu-9-001702,Ath-2-002708,Bdiv-4-001410,Bst-4-001390,Cen-3-001454,Cen-10-001469,.,Chivh-4-001879,Cla-7-01302,Cne-2-000635,.,Crub-4-001475,Csa-5-001690,Csa-7-000537,Csa-16-000537,Eche-7-001278,Esal-3-001660,Iind-5-001409,Mpe-3-000756,Mpyg-2-001439,.,Tar-4-001267,,,
.,Aare-4-001496,Aha-4-001525,Alsp-4-001615,Aru-a04-001286,.,Asu-2-002494,Asu-9-001703,Ath-2-002709,.,Bst-4-001391,.,Cen-10-001468,Cfle-4-001464,Chivh-4-001874,Cla-7-01301,Cne-2-000631,Cpl-393-001258,Crub-4-001476,Csa-5-001689,Csa-7-000536,.,.,.,.,Mpe-3-000757,.,Spar-4-001605,Tar-4-001266,,,
.,Aare-4-001497,.,Alsp-4-001616,Aru-a04-001285,Aru-b04-001314,Asu-2-002495,Asu-9-001704,Ath-2-002710,.,.,.,Cen-10-001467,.,Chivh-4-001873,Cla-7-01300,Cne-2-000630,.,Crub-4-001477,Csa-5-001688,Csa-7-000535,Csa-16-000536,Eche-7-001277,Esal-3-001661,Iind-5-001408,Mpe-3-000758,Mpyg-2-001437,.,.,,,
Aara-9-001271,.,Aha-4-001526,Alsp-4-001617,Aru-a04-001284,Aru-b04-001313,Asu-2-002496,Asu-9-001705,Ath-2-002711,.,Bst-4-001393,Cen-3-001455,Cen-10-001466,Cfle-4-001462,Chivh-4-001870,Cla-7-01299,Cne-2-000626,Cpl-393-001256,Crub-4-001478,Csa-5-001685,Csa-7-000533,Csa-16-000535,Eche-7-001276,Esal-3-001663,Iind-5-001407,Mpe-3-000759,Mpyg-2-001436,Spar-4-001603,Tar-4-001265,,,
Aara-9-001272,Aare-4-001499,Aha-4-001527,Alsp-4-001618,Aru-a04-001283,Aru-b04-001312,Asu-2-002497,Asu-9-001706,Ath-2-002712,Bdiv-4-001407,Bst-4-001394,Cen-3-001456,Cen-10-001465,.,Chivh-4-001869,Cla-7-01298,Cne-2-000625,Cpl-393-001255,Crub-4-001479,Csa-5-001684,Csa-7-000532,Csa-16-000534,.,Esal-3-001664,Iind-5-001406,Mpe-3-000760,Mpyg-2-001435,Spar-4-001602,Tar-4-001264,,,
Aara-9-001273,Aare-4-001500,Aha-4-001529,Alsp-4-001619,Aru-a04-001281,Aru-b04-001310,Asu-2-002498,Asu-9-001707,Ath-2-002713,.,Bst-4-001395,Cen-3-001457,Cen-10-001463,Cfle-4-001460,Chivh-4-001868,Cla-7-01296,.,Cpl-393-001254,Crub-4-001480,Csa-5-001683,Csa-7-000531,Csa-16-000533,Eche-7-001274,Esal-3-001665,Iind-5-001405,Mpe-3-000761,Mpyg-2-001434,Spar-4-001601,Tar-4-001263,,,
Aara-9-001274,Aare-4-001501,Aha-4-001531,Alsp-4-001620,Aru-a04-001280,Aru-b04-001309,Asu-2-002499,Asu-9-001708,Ath-2-002714,Bdiv-4-001405,Bst-4-001396,Cen-3-001458,Cen-10-001462,Cfle-4-001459,Chivh-4-001867,Cla-7-01295,Cne-2-000623,Cpl-393-001253,Crub-4-001481,Csa-5-001681,Csa-7-000530,Csa-16-000532,Eche-7-001273,Esal-3-001666,Iind-5-001404,Mpe-3-000762,Mpyg-2-001433,Spar-4-001600,Tar-4-001262,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-001482,.,.,.,.,.,.,.,.,.,.,,,
Aara-9-001276,.,Aha-4-001533,Alsp-4-001622,Aru-a04-001278,Aru-b04-001307,Asu-2-002501,Asu-9-001710,Ath-2-002716,Bdiv-4-001403,.,Cen-3-001460,Cen-10-001460,Cfle-4-001457,Chivh-4-001865,Cla-7-01293,Cne-2-000621,Cpl-393-001250,Crub-4-001483,Csa-5-001679,Csa-7-000528,Csa-16-000530,.,.,Iind-5-001401,Mpe-3-000765,Mpyg-2-001431,Spar-4-001597,Tar-4-001261,,,
Aara-9-001277,.,Aha-4-001534,Alsp-4-001623,Aru-a04-001277,.,Asu-2-002502,Asu-9-001711,Ath-2-002717,Bdiv-4-001402,.,Cen-3-001461,Cen-10-001459,.,Chivh-4-001862,Cla-7-01292,Cne-2-000620,Cpl-393-001249,Crub-4-001484,Csa-5-001678,Csa-7-000527,.,Eche-7-001270,Esal-3-001668,Iind-5-001400,Mpe-3-000766,Mpyg-2-001430,Spar-4-001596,Tar-4-001260,,,
Aara-9-001278,Aare-4-001505,Aha-4-001535,Alsp-4-001624,Aru-a04-001276,Aru-b04-001305,Asu-2-002504,Asu-9-001712,Ath-2-002719,.,.,Cen-3-001462,Cen-10-001458,Cfle-4-001454,Chivh-4-001861,Cla-7-01291,Cne-2-000619,Cpl-393-001248,Crub-4-001485,Csa-5-001677,Csa-7-000526,Csa-16-000529,Eche-7-001269,Esal-3-001669,Iind-5-001399,Mpe-3-000767,Mpyg-2-001428,Spar-4-001595,Tar-4-001259,,,
Aara-9-001279,Aare-4-001506,Aha-4-001536,Alsp-4-001625,.,.,Asu-2-002505,Asu-9-001713,Ath-2-002720,.,Bst-4-001401,.,Cen-10-001457,.,.,Cla-7-01290,.,.,Crub-4-001486,Csa-5-001672,Csa-7-000525,Csa-16-000528,.,Esal-3-001670,Iind-5-001398,Mpe-3-000768,Mpyg-2-001427,.,Tar-4-001258,,,
.,Aare-4-001507,Aha-4-001537,Alsp-4-001627,Aru-a04-001273,Aru-b04-001303,Asu-2-002507,Asu-9-001715,Ath-2-002722,Bdiv-4-001399,Bst-4-001402,Cen-3-001464,Cen-10-001455,.,Chivh-4-001859,Cla-7-01288,Cne-2-000617,Cpl-393-001245,Crub-4-001487,Csa-5-001671,Csa-7-000523,Csa-16-000526,Eche-7-001267,Esal-3-001672,Iind-5-001395,Mpe-3-000770,Mpyg-2-001425,Spar-4-001592,Tar-4-001253,,,
Aara-9-001280,.,Aha-4-001539,Alsp-4-001629,Aru-a04-001272,.,Asu-2-002509,Asu-9-001718,Ath-2-002724,.,.,Cen-3-001466,Cen-10-001454,Cfle-4-001450,Chivh-4-001855,.,Cne-2-000612,.,Crub-4-001488,Csa-5-001667,Csa-7-000520,Csa-16-000524,.,.,Iind-5-001394,Mpe-3-000771,.,.,Tar-4-001252,,,
Aara-9-001281,.,Aha-4-001540,Alsp-4-001630,Aru-a04-001271,Aru-b04-001302,Asu-2-002510,Asu-9-001719,Ath-2-002725,.,.,Cen-3-001467,Cen-10-001453,.,.,Cla-7-01287,Cne-2-000611,.,Crub-4-001489,Csa-5-001666,.,Csa-16-000523,.,Esal-3-001673,Iind-5-001393,Mpe-3-000772,Mpyg-2-001424,.,.,,,
Aara-9-001282,.,.,Alsp-4-001631,Aru-a04-001270,.,Asu-2-002511,Asu-9-001720,.,Bdiv-4-001394,Bst-4-001406,.,.,Cfle-4-001448,Chivh-4-001853,.,Cne-2-000610,.,Crub-4-001490,Csa-5-001665,Csa-7-000519,Csa-16-000522,.,.,Iind-5-001392,Mpe-3-000773,.,.,Tar-4-001251,,,
Aara-9-001283,Aare-4-001514,Aha-4-001541,Alsp-4-001632,Aru-a04-001269,Aru-b04-001301,Asu-2-002512,Asu-9-001721,Ath-2-002727,Bdiv-4-001393,Bst-4-001407,Cen-3-001468,Cen-10-001452,.,Chivh-4-001852,Cla-7-01286,Cne-2-000609,Cpl-393-001243,Crub-4-001491,Csa-5-001664,Csa-7-000518,Csa-16-000521,Eche-7-001265,Esal-3-001674,Iind-5-001390,Mpe-3-000774,Mpyg-2-001423,Spar-4-001590,Tar-4-001250,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-001492,.,.,.,.,.,.,.,.,.,.,,,
Aara-9-001284,Aare-4-001516,Aha-4-001542,Alsp-4-001633,.,Aru-b04-001300,Asu-2-002514,Asu-9-001723,Ath-2-002729,Bdiv-4-001392,Bst-4-001408,Cen-3-001469,Cen-10-001451,Cfle-4-001445,Chivh-4-001851,Cla-7-01285,Cne-2-000608,Cpl-393-001242,Crub-4-001493,Csa-5-001663,Csa-7-000517,Csa-16-000520,Eche-7-001264,Esal-3-001675,Iind-5-001389,Mpe-3-000775,Mpyg-2-001422,Spar-4-001589,Tar-4-001249,,,
.,Aare-4-001517,Aha-4-001543,Alsp-4-001634,Aru-a04-001267,Aru-b04-001299,.,Asu-9-001724,.,Bdiv-4-001390,Bst-4-001409,Cen-3-001470,.,.,Chivh-4-001850,Cla-7-01284,Cne-2-000607,Cpl-393-001241,Crub-4-001494,Csa-5-001662,Csa-7-000516,.,Eche-7-001263,.,Iind-5-001388,Mpe-3-000776,Mpyg-2-001421,Spar-4-001588,.,,,
.,.,.,.,.,.,Asu-2-002515,.,Ath-2-002730,.,.,.,.,.,Chivh-4-001848,.,Cne-2-000606,.,Crub-4-001495,Csa-5-001661,Csa-7-000515,.,.,.,.,.,Mpyg-2-001420,.,.,,,
Aara-9-001285,Aare-4-001519,Aha-4-001544,Alsp-4-001635,.,Aru-b04-001297,Asu-2-002516,Asu-9-001725,Ath-2-002731,.,Bst-4-001410,Cen-3-001471,Cen-10-001450,Cfle-4-001443,Chivh-4-001843,Cla-7-01283,.,Cpl-393-001240,Crub-4-001496,Csa-5-001658,Csa-7-000514,Csa-16-000519,Eche-7-001262,Esal-3-001676,Iind-5-001387,Mpe-3-000777,Mpyg-2-001419,Spar-4-001587,Tar-4-001248,,,
Aara-9-001286,Aare-4-001520,Aha-4-001545,Alsp-4-001636,Aru-a04-001266,.,Asu-2-002517,Asu-9-001726,Ath-2-002732,Bdiv-4-001388,Bst-4-001411,Cen-3-001472,Cen-10-001449,Cfle-4-001442,Chivh-4-001842,Cla-7-01282,Cne-2-000602,.,Crub-4-001497,Csa-5-001657,Csa-7-000513,Csa-16-000518,Eche-7-001261,Esal-3-001677,Iind-5-001386,Mpe-3-000778,.,.,.,,,
Aara-9-001287,Aare-4-001521,.,Alsp-4-001637,Aru-a04-001265,Aru-b04-001296,Asu-2-002518,Asu-9-001727,Ath-2-002733,.,Bst-4-001412,Cen-3-001473,Cen-10-001448,Cfle-4-001441,Chivh-4-001841,Cla-7-01281,Cne-2-000601,Cpl-393-001238,Crub-4-001498,Csa-5-001656,Csa-7-000512,Csa-16-000517,.,Esal-3-001678,Iind-5-001385,Mpe-3-000779,Mpyg-2-001417,Spar-4-001585,Tar-4-001247,,,
Aara-9-001288,.,Aha-4-001546,Alsp-4-001638,Aru-a04-001264,Aru-b04-001295,Asu-2-002519,Asu-9-001728,Ath-2-002734,Bdiv-4-001387,Bst-4-001413,Cen-3-001474,Cen-10-001447,Cfle-4-001439,Chivh-4-001840,Cla-7-01280,Cne-2-000600,Cpl-393-001237,Crub-4-001499,Csa-5-001655,Csa-7-000511,Csa-16-000516,Eche-7-001260,Esal-3-001679,Iind-5-001384,.,.,Spar-4-001584,Tar-4-001246,,,
Aara-9-001289,.,Aha-4-001547,Alsp-4-001639,Aru-a04-001263,Aru-b04-001293,Asu-2-002520,Asu-9-001729,Ath-2-002735,.,Bst-4-001414,Cen-3-001475,Cen-10-001443,.,.,.,.,Cpl-393-001236,Crub-4-001500,Csa-5-001652,Csa-7-000508,Csa-16-000515,Eche-7-001259,.,Iind-5-001383,Mpe-3-000780,.,Spar-4-001583,.,,,
Aara-9-001291,Aare-4-001524,Aha-4-001549,Alsp-4-001641,Aru-a04-001260,Aru-b04-001291,Asu-2-002522,Asu-9-001732,Ath-2-002737,Bdiv-4-001385,Bst-4-001415,Cen-3-001480,Cen-10-001441,Cfle-4-001432,Chivh-4-001831,Cla-7-01277,Cne-2-000595,Cpl-393-001233,Crub-4-001501,Csa-5-001650,Csa-7-000506,Csa-16-000513,Eche-7-001257,Esal-3-001683,.,Mpe-3-000783,Mpyg-2-001414,Spar-4-001580,.,,,
Aara-9-001292,.,.,Alsp-4-001642,Aru-a04-001259,Aru-b04-001290,Asu-2-002523,Asu-9-001733,Ath-2-002738,Bdiv-4-001384,.,Cen-3-001481,Cen-10-001440,.,Chivh-4-001830,Cla-7-01276,Cne-2-000594,.,Crub-4-001502,Csa-5-001649,Csa-7-000505,Csa-16-000512,.,Esal-3-001684,.,Mpe-3-000784,.,Spar-4-001579,Tar-4-001243,,,
.,Aare-4-001526,.,Alsp-4-001643,Aru-a04-001258,Aru-b04-001289,.,Asu-9-001734,.,.,.,Cen-3-001482,Cen-10-001439,.,Chivh-4-001829,Cla-7-01275,Cne-2-000593,.,Crub-4-001503,.,Csa-7-000504,Csa-16-000511,.,Esal-3-001685,Iind-5-001378,Mpe-3-000785,.,.,.,,,
.,Aare-4-001527,Aha-4-001550,Alsp-4-001644,.,Aru-b04-001288,Asu-2-002524,Asu-9-001735,Ath-2-002739,Bdiv-4-001382,Bst-4-001418,.,.,.,Chivh-4-001828,Cla-7-01274,Cne-2-000592,.,Crub-4-001504,Csa-5-001648,Csa-7-000503,Csa-16-000510,Eche-7-001256,Esal-3-001686,Iind-5-001377,Mpe-3-000786,.,.,Tar-4-001242,,,
.,Aare-4-001528,Aha-4-001551,Alsp-4-001646,.,Aru-b04-001287,Asu-2-002525,Asu-9-001736,Ath-2-002740,Bdiv-4-001381,Bst-4-001419,Cen-3-001483,Cen-10-001437,Cfle-4-001428,Chivh-4-001827,Cla-7-01273,Cne-2-000591,.,Crub-4-001505,Csa-5-001647,Csa-7-000502,Csa-16-000508,.,Esal-3-001687,Iind-5-001376,Mpe-3-000787,Mpyg-2-001412,Spar-4-001578,Tar-4-001241,,,
.,Aare-4-001530,.,Alsp-4-001648,Aru-a04-001256,Aru-b04-001285,Asu-2-002527,Asu-9-001737,Ath-2-002742,Bdiv-4-001380,Bst-4-001420,Cen-3-001484,Cen-10-001436,Cfle-4-001427,Chivh-4-001826,Cla-7-01272,Cne-2-000590,Cpl-393-001231,Crub-4-001506,Csa-5-001646,Csa-7-000501,Csa-16-000507,Eche-7-001255,Esal-3-001688,Iind-5-001374,Mpe-3-000789,Mpyg-2-001411,Spar-4-001577,Tar-4-001240,,,
.,Aare-4-001531,Aha-4-001552,Alsp-4-001650,.,.,Asu-2-002528,Asu-9-001738,Ath-2-002743,.,Bst-4-001421,.,Cen-10-001435,.,.,.,.,Cpl-393-001230,Crub-4-001507,Csa-5-001645,Csa-7-000500,Csa-16-000506,Eche-7-001254,.,.,Mpe-3-000790,Mpyg-2-001410,Spar-4-001576,Tar-4-001235,,,
.,Aare-4-001532,Aha-4-001554,Alsp-4-001652,Aru-a04-001254,Aru-b04-001283,Asu-2-002530,Asu-9-001740,Ath-2-002745,Bdiv-4-001378,.,Cen-3-001486,Cen-10-001433,Cfle-4-001425,Chivh-4-001824,Cla-7-01270,Cne-2-000586,Cpl-393-001228,Crub-4-001508,Csa-5-001643,Csa-7-000498,Csa-16-000504,Eche-7-001252,Esal-3-001690,Iind-5-001372,Mpe-3-000791,Mpyg-2-001408,Spar-4-001574,.,,,
.,Aare-4-001533,Aha-4-001555,Alsp-4-001653,Aru-a04-001253,Aru-b04-001282,Asu-2-002531,Asu-9-001741,Ath-2-002746,.,.,Cen-3-001487,Cen-10-001432,Cfle-4-001424,.,Cla-7-01269,.,Cpl-393-001227,Crub-4-001509,Csa-5-001642,Csa-7-000497,Csa-16-000503,.,Esal-3-001691,Iind-5-001371,Mpe-3-000792,Mpyg-2-001407,Spar-4-001573,Tar-4-001233,,,
.,.,.,Alsp-4-001654,Aru-a04-001252,Aru-b04-001281,Asu-2-002532,Asu-9-001742,Ath-2-002747,Bdiv-4-001376,Bst-4-001424,Cen-3-001488,.,Cfle-4-001423,Chivh-4-001822,Cla-7-01268,.,.,Crub-4-001510,Csa-5-001641,.,Csa-16-000502,Eche-7-001251,Esal-3-001692,.,.,.,.,.,,,
Aara-9-001295,Aare-4-001535,.,Alsp-4-001655,Aru-a04-001251,Aru-b04-001280,Asu-2-002533,Asu-9-001743,Ath-2-002748,Bdiv-4-001375,Bst-4-001425,.,Cen-10-001431,Cfle-4-001422,Chivh-4-001821,Cla-7-01267,Cne-2-000583,Cpl-393-001226,Crub-4-001511,Csa-5-001640,Csa-7-000495,Csa-16-000501,.,Esal-3-001693,Iind-5-001370,Mpe-3-000793,Mpyg-2-001406,Spar-4-001572,Tar-4-001232,,,
.,Aare-4-001536,Aha-4-001556,Alsp-4-001656,Aru-a04-001250,Aru-b04-001279,Asu-2-002534,Asu-9-001744,Ath-2-002749,Bdiv-4-001374,Bst-4-001426,Cen-3-001489,.,Cfle-4-001421,Chivh-4-001820,Cla-7-01266,Cne-2-000582,.,Crub-4-001512,Csa-5-001639,Csa-7-000494,Csa-16-000500,Eche-7-001250,Esal-3-001694,Iind-5-001369,.,.,.,Tar-4-001231,,,
.,Aare-4-001537,Aha-4-001557,Alsp-4-001657,.,Aru-b04-001277,Asu-2-002535,Asu-9-001745,Ath-2-002750,Bdiv-4-001373,Bst-4-001427,.,Cen-10-001430,Cfle-4-001420,Chivh-4-001819,Cla-7-01265,Cne-2-000581,Cpl-393-001225,Crub-4-001513,Csa-5-001638,Csa-7-000493,Csa-16-000499,Eche-7-001249,Esal-3-001695,Iind-5-001368,Mpe-3-000794,Mpyg-2-001404,Spar-4-001571,Tar-4-001230,,,
Aara-9-001297,Aare-4-001538,Aha-4-001558,Alsp-4-001658,Aru-a04-001249,Aru-b04-001276,Asu-2-002536,Asu-9-001746,Ath-2-002751,.,Bst-4-001428,Cen-3-001492,.,.,Chivh-4-001818,Cla-7-01264,Cne-2-000580,.,Crub-4-001514,Csa-5-001637,Csa-7-000492,Csa-16-000498,Eche-7-001248,Esal-3-001696,.,Mpe-3-000795,.,.,.,,,
Aara-9-001299,Aare-4-001539,Aha-4-001559,Alsp-4-001659,Aru-a04-001248,Aru-b04-001275,Asu-2-002537,Asu-9-001747,Ath-2-002752,Bdiv-4-001371,Bst-4-001429,Cen-3-001493,Cen-10-001428,Cfle-4-001418,Chivh-4-001817,Cla-7-01263,Cne-2-000579,Cpl-393-001224,Crub-4-001515,Csa-5-001636,Csa-7-000491,Csa-16-000497,Eche-7-001247,Esal-3-001697,Iind-5-001365,Mpe-3-000796,Mpyg-2-001403,Spar-4-001570,Tar-4-001229,,,
Aara-9-001300,Aare-4-001540,Aha-4-001560,Alsp-4-001660,Aru-a04-001247,Aru-b04-001274,Asu-2-002538,Asu-9-001748,Ath-2-002753,Bdiv-4-001369,Bst-4-001431,Cen-3-001494,Cen-10-001427,Cfle-4-001417,Chivh-4-001816,.,Cne-2-000578,Cpl-393-001223,Crub-4-001516,Csa-5-001635,Csa-7-000490,Csa-16-000496,Eche-7-001246,.,Iind-5-001363,Mpe-3-000797,Mpyg-2-001402,Spar-4-001568,Tar-4-001228,,,
Aara-9-001301,Aare-4-001541,Aha-4-001561,Alsp-4-001661,Aru-a04-001246,Aru-b04-001273,Asu-2-002539,Asu-9-001749,Ath-2-002754,Bdiv-4-001368,Bst-4-001432,Cen-3-001495,Cen-10-001426,Cfle-4-001416,Chivh-4-001815,Cla-7-01262,Cne-2-000577,Cpl-393-001222,Crub-4-001517,Csa-5-001634,Csa-7-000489,Csa-16-000495,Eche-7-001245,Esal-3-001698,Iind-5-001361,Mpe-3-000798,Mpyg-2-001398,Spar-4-001567,Tar-4-001227,,,
.,Aare-4-001542,.,Alsp-4-001662,.,Aru-b04-001272,.,Asu-9-001750,.,.,.,.,Cen-10-001425,Cfle-4-001415,Chivh-4-001814,Cla-7-01261,Cne-2-000576,.,Crub-4-001518,Csa-5-001633,Csa-7-000488,.,.,Esal-3-001699,Iind-5-001360,.,.,.,.,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-001519,.,.,.,.,.,.,.,.,.,.,,,
.,Aare-4-001543,Aha-4-001563,Alsp-4-001663,Aru-a04-001245,Aru-b04-001271,Asu-2-002540,Asu-9-001751,Ath-2-002755,.,Bst-4-001435,Cen-3-001496,Cen-10-001424,Cfle-4-001414,Chivh-4-001813,Cla-7-01259,Cne-2-000575,Cpl-393-001221,Crub-4-001520,Csa-5-001632,Csa-7-000487,Csa-16-000494,Eche-7-001244,Esal-3-001700,Iind-5-001359,Mpe-3-000800,Mpyg-2-001396,.,Tar-4-001226,,,
Aara-9-001303,.,Aha-4-001564,Alsp-4-001664,Aru-a04-001244,Aru-b04-001270,Asu-2-002541,Asu-9-001752,Ath-2-002756,Bdiv-4-001365,Bst-4-001436,Cen-3-001497,Cen-10-001423,.,Chivh-4-001812,Cla-7-01258,Cne-2-000574,Cpl-393-001220,Crub-4-001521,Csa-5-001631,Csa-7-000486,Csa-16-000493,Eche-7-001243,Esal-3-001701,Iind-5-001358,Mpe-3-000801,Mpyg-2-001395,Spar-4-001564,Tar-4-001225,,,
.,Aare-4-001545,Aha-4-001565,Alsp-4-001665,Aru-a04-001243,Aru-b04-001269,Asu-2-002542,Asu-9-001753,Ath-2-002757,Bdiv-4-001364,Bst-4-001437,.,Cen-10-001422,Cfle-4-001412,Chivh-4-001811,Cla-7-01257,Cne-2-000572,.,Crub-4-001522,Csa-5-001630,Csa-7-000485,Csa-16-000492,Eche-7-001242,.,.,Mpe-3-000802,.,.,.,,,
Aara-9-001304,Aare-4-001546,Aha-4-001566,Alsp-4-001666,Aru-a04-001242,Aru-b04-001268,Asu-2-002543,Asu-9-001754,Ath-2-002758,.,Bst-4-001439,.,Cen-10-001421,Cfle-4-001411,Chivh-4-001808,Cla-7-01256,.,Cpl-393-001219,Crub-4-001523,Csa-5-001629,Csa-7-000484,Csa-16-000491,.,Esal-3-001702,Iind-5-001356,Mpe-3-000803,Mpyg-2-001394,Spar-4-001563,Tar-4-001224,,,
Aara-9-001305,Aare-4-001547,.,Alsp-4-001667,Aru-a04-001241,Aru-b04-001267,Asu-2-002544,Asu-9-001755,Ath-2-002759,Bdiv-4-001362,Bst-4-001440,.,Cen-10-001420,Cfle-4-001410,Chivh-4-001807,Cla-7-01255,Cne-2-000570,Cpl-393-001218,Crub-4-001524,Csa-5-001628,.,.,Eche-7-001241,Esal-3-001703,Iind-5-001355,Mpe-3-000804,Mpyg-2-001393,.,Tar-4-001223,,,
Aara-9-001306,.,Aha-4-001567,Alsp-4-001669,Aru-a04-001240,Aru-b04-001266,Asu-2-002546,Asu-9-001757,Ath-2-002761,Bdiv-4-001361,Bst-4-001441,Cen-3-001498,Cen-10-001419,Cfle-4-001408,Chivh-4-001806,Cla-7-01253,Cne-2-000568,.,Crub-4-001525,Csa-5-001627,Csa-7-000483,Csa-16-000489,Eche-7-001240,Esal-3-001704,Iind-5-001353,Mpe-3-000806,Mpyg-2-001392,.,Tar-4-001221,,,
Aara-9-001307,Aare-4-001549,Aha-4-001568,Alsp-4-001670,.,Aru-b04-001265,Asu-2-002547,Asu-9-001758,Ath-2-002762,Bdiv-4-001360,Bst-4-001442,Cen-3-001499,Cen-10-001418,.,Chivh-4-001805,Cla-7-01252,Cne-2-000567,Cpl-393-001216,Crub-4-001526,Csa-5-001626,Csa-7-000482,Csa-16-000488,Eche-7-001239,Esal-3-001705,Iind-5-001352,Mpe-3-000807,Mpyg-2-001391,Spar-4-001560,Tar-4-001220,,,
Aara-9-001308,Aare-4-001550,Aha-4-001569,Alsp-4-001671,Aru-a04-001239,Aru-b04-001264,Asu-2-002548,Asu-9-001759,Ath-2-002763,Bdiv-4-001359,Bst-4-001443,Cen-3-001500,Cen-10-001417,Cfle-4-001406,Chivh-4-001804,Cla-7-01251,Cne-2-000566,.,Crub-4-001527,Csa-5-001625,Csa-7-000481,Csa-16-000487,Eche-7-001238,Esal-3-001706,Iind-5-001351,Mpe-3-000808,Mpyg-2-001390,.,Tar-4-001219,,,
Aara-9-001309,Aare-4-001551,Aha-4-001570,Alsp-4-001672,Aru-a04-001238,Aru-b04-001263,Asu-2-002549,Asu-9-001760,Ath-2-002764,Bdiv-4-001358,Bst-4-001444,Cen-3-001501,Cen-10-001416,.,Chivh-4-001803,Cla-7-01250,Cne-2-000565,Cpl-393-001214,Crub-4-001528,Csa-5-001624,Csa-7-000480,Csa-16-000486,Eche-7-001237,Esal-3-001707,Iind-5-001350,Mpe-3-000809,Mpyg-2-001389,Spar-4-001558,Tar-4-001218,,,
