,Aare-2-000003,Aha-2-000001,Alsp-2-000002,Aru-a02-002015,Aru-b02-000006,Asu-1-005099,Asu-7-000002,Ath-1-005393,Bdiv-1-001742,Bst-1-003188,,Cen-14-002794,Cfle-7-002488,Chivh-2-006206,Cla-5-02337,Cne-2-005372,Cpl-481-000002,Crub-2-000001,Csa-9-004813,,Csa-16-004146,Eche-4-000017,Esal-2-003258,Iind-1-003667,Mpe-14-000712,,Spar-2-000001,,,,
.,Aare-2-001827,Aha-2-001864,Alsp-2-001732,Aru-a02-000711,Aru-b02-001310,Asu-1-005861,Asu-7-002003,Ath-1-006189,.,Bst-2-002783,Cen-6-001826,Cen-14-000825,Cfle-7-000816,Chivh-2-004215,.,Cne-2-003149,.,Crub-2-001880,Csa-9-002914,Csa-7-002323,Csa-16-002163,.,Esal-1-000739,Iind-7-000828,Mpe-13-000814,.,.,Tar-5-002420,,,Ggyn-8-000696
Aara-4-000237,Aare-2-001828,.,Alsp-2-001733,Aru-a02-000710,Aru-b02-001311,Asu-1-005862,Asu-7-002004,Ath-1-006190,Bdiv-2-000921,.,Cen-6-001827,Cen-14-000824,Cfle-7-000815,Chivh-2-004214,Cla-5-00372,Cne-2-003150,Cpl-442-000571,Crub-2-001881,Csa-9-002915,Csa-7-002324,Csa-16-002164,Eche-4-001397,Esal-1-000738,Iind-7-000827,Mpe-13-000813,Mpyg-6-000757,.,Tar-5-002421,,,Ggyn-8-000694
Aara-4-000238,.,Aha-2-001865,Alsp-2-001734,Aru-a02-000709,Aru-b02-001312,Asu-1-005863,Asu-7-002005,Ath-1-006191,Bdiv-2-000920,Bst-2-002784,Cen-6-001828,Cen-14-000823,Cfle-7-000814,Chivh-2-004213,Cla-5-00373,Cne-2-003151,.,Crub-2-001882,Csa-9-002916,Csa-7-002325,Csa-16-002165,Eche-4-001398,Esal-1-000735,Iind-7-000826,Mpe-13-000812,Mpyg-6-000756,.,Tar-5-002422,,,Ggyn-8-000692
Aara-4-000239,Aare-2-001830,Aha-2-001866,Alsp-2-001735,Aru-a02-000708,Aru-b02-001313,Asu-1-005864,Asu-7-002006,Ath-1-006192,Bdiv-2-000919,Bst-2-002785,Cen-6-001829,Cen-14-000822,.,Chivh-2-004212,Cla-5-00374,Cne-2-003152,.,Crub-2-001883,Csa-9-002917,Csa-7-002326,Csa-16-002166,Eche-4-001399,.,.,.,.,.,.,,,Ggyn-8-000691
.,Aare-2-001831,Aha-2-001867,Alsp-2-001736,Aru-a02-000707,Aru-b02-001314,Asu-1-005865,Asu-7-002007,Ath-1-006193,Bdiv-2-000918,Bst-2-002786,Cen-6-001831,Cen-14-000820,.,Chivh-2-004211,Cla-5-00375,Cne-2-003153,Cpl-442-000574,Crub-2-001884,Csa-9-002918,Csa-7-002327,Csa-16-002167,.,Esal-1-000734,Iind-7-000825,Mpe-13-000811,Mpyg-6-000755,Spar-5-001904,Tar-5-002423,,,Ggyn-8-000690
Aara-4-000240,Aare-2-001832,Aha-2-001868,Alsp-2-001737,.,Aru-b02-001315,Asu-1-005866,Asu-7-002008,Ath-1-006194,Bdiv-2-000917,Bst-2-002787,Cen-6-001832,Cen-14-000819,.,Chivh-2-004210,Cla-5-00376,Cne-2-003154,.,Crub-2-001885,Csa-9-002919,Csa-7-002328,Csa-16-002168,Eche-4-001401,Esal-1-000733,Iind-7-000824,Mpe-13-000810,Mpyg-6-000754,Spar-5-001905,Tar-5-002424,,,.
Aara-4-000241,Aare-2-001833,Aha-2-001869,Alsp-2-001738,Aru-a02-000706,.,Asu-1-005867,Asu-7-002009,Ath-1-006195,Bdiv-2-000916,Bst-2-002788,Cen-6-001834,Cen-14-000817,Cfle-7-000809,Chivh-2-004209,Cla-5-00377,Cne-2-003155,Cpl-442-000576,Crub-2-001886,Csa-9-002920,Csa-7-002329,Csa-16-002169,Eche-4-001402,Esal-1-000732,.,Mpe-13-000809,Mpyg-6-000753,Spar-5-001906,.,,,.
Aara-4-000242,Aare-2-001834,Aha-2-001870,Alsp-2-001739,Aru-a02-000705,Aru-b02-001316,Asu-1-005868,Asu-7-002010,Ath-1-006196,Bdiv-2-000915,Bst-2-002789,Cen-6-001835,Cen-14-000816,Cfle-7-000808,Chivh-2-004208,Cla-5-00378,Cne-2-003156,Cpl-442-000577,Crub-2-001887,Csa-9-002923,Csa-7-002330,Csa-16-002170,.,Esal-1-000731,Iind-7-000823,Mpe-13-000808,Mpyg-6-000752,Spar-5-001907,Tar-5-002425,,,.
Aara-4-000243,.,Aha-2-001871,Alsp-2-001742,Aru-a02-000703,.,Asu-1-005869,Asu-7-002011,Ath-1-006197,.,.,Cen-6-001836,Cen-14-000815,.,.,Cla-5-00379,.,Cpl-442-000578,Crub-2-001888,Csa-9-002925,Csa-7-002333,Csa-16-002171,Eche-4-001404,Esal-1-000730,Iind-7-000822,Mpe-13-000807,Mpyg-6-000751,Spar-5-001908,Tar-5-002426,,,Ggyn-8-000689
Aara-4-000244,Aare-2-001836,Aha-2-001872,Alsp-2-001743,Aru-a02-000702,Aru-b02-001317,Asu-1-005870,Asu-7-002012,Ath-1-006198,Bdiv-2-000913,Bst-2-002791,Cen-6-001837,Cen-14-000814,Cfle-7-000805,Chivh-2-004206,Cla-5-00380,Cne-2-003160,Cpl-442-000579,Crub-2-001889,Csa-9-002926,Csa-7-002334,Csa-16-002172,Eche-4-001405,Esal-1-000729,Iind-7-000819,Mpe-13-000806,Mpyg-6-000750,Spar-5-001909,Tar-5-002427,,,Ggyn-8-000688
Aara-4-000245,Aare-2-001837,Aha-2-001873,Alsp-2-001744,Aru-a02-000701,.,Asu-1-005871,Asu-7-002013,Ath-1-006199,Bdiv-2-000912,Bst-2-002792,Cen-6-001838,Cen-14-000813,Cfle-7-000804,Chivh-2-004205,Cla-5-00381,Cne-2-003161,Cpl-442-000580,Crub-2-001890,Csa-9-002927,Csa-7-002335,Csa-16-002173,.,Esal-1-000728,Iind-7-000818,Mpe-13-000805,Mpyg-6-000749,Spar-5-001910,.,,,.
Aara-4-000246,Aare-2-001838,Aha-2-001874,Alsp-2-001745,Aru-a02-000700,Aru-b02-001318,Asu-1-005872,Asu-7-002014,Ath-1-006200,Bdiv-2-000911,Bst-2-002793,Cen-6-001839,Cen-14-000812,Cfle-7-000803,Chivh-2-004204,Cla-5-00382,Cne-2-003162,Cpl-442-000581,Crub-2-001891,Csa-9-002928,Csa-7-002336,Csa-16-002174,.,Esal-1-000727,Iind-7-000817,Mpe-13-000804,Mpyg-6-000748,Spar-5-001911,Tar-5-002428,,,.
Aara-4-000247,Aare-2-001839,Aha-2-001875,Alsp-2-001746,Aru-a02-000699,Aru-b02-001319,Asu-1-005873,Asu-7-002015,Ath-1-006201,Bdiv-2-000910,Bst-2-002794,Cen-6-001840,Cen-14-000811,Cfle-7-000802,Chivh-2-004203,.,Cne-2-003163,Cpl-442-000582,Crub-2-001892,Csa-9-002929,Csa-7-002337,.,Eche-4-001408,Esal-1-000726,Iind-7-000816,Mpe-13-000803,Mpyg-6-000747,Spar-5-001912,Tar-5-002429,,,Ggyn-8-000687
Aara-4-000248,Aare-2-001840,Aha-2-001876,Alsp-2-001747,Aru-a02-000698,Aru-b02-001320,Asu-1-005874,Asu-7-002016,Ath-1-006202,Bdiv-2-000909,Bst-2-002795,Cen-6-001841,Cen-14-000810,Cfle-7-000801,Chivh-2-004202,Cla-5-00383,.,Cpl-442-000583,Crub-2-001893,Csa-9-002930,Csa-7-002338,Csa-16-002175,.,Esal-1-000725,Iind-7-000815,Mpe-13-000802,Mpyg-6-000746,Spar-5-001913,Tar-5-002430,,,Ggyn-8-000685
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-2-001894,.,.,.,.,.,.,.,.,.,.,,,.
Aara-4-000249,Aare-2-001841,Aha-2-001877,Alsp-2-001748,Aru-a02-000697,.,Asu-1-005875,Asu-7-002017,Ath-1-006203,Bdiv-2-000908,Bst-2-002796,Cen-6-001842,.,Cfle-7-000800,Chivh-2-004201,Cla-5-00384,Cne-2-003166,.,Crub-2-001895,Csa-9-002931,Csa-7-002339,Csa-16-002177,Eche-4-001410,Esal-1-000724,Iind-7-000814,Mpe-13-000801,Mpyg-6-000745,.,Tar-5-002431,,,.
Aara-4-000250,Aare-2-001842,Aha-2-001878,Alsp-2-001750,Aru-a02-000696,Aru-b02-001321,Asu-1-005876,Asu-7-002018,Ath-1-006204,.,Bst-2-002797,Cen-6-001843,Cen-14-000809,Cfle-7-000799,Chivh-2-004200,Cla-5-00385,.,Cpl-442-000585,Crub-2-001896,Csa-9-002932,Csa-7-002340,Csa-16-002178,.,Esal-1-000723,Iind-7-000813,Mpe-13-000800,Mpyg-6-000743,Spar-5-001915,Tar-5-002432,,,Ggyn-8-000684
Aara-4-000258,Aare-2-001843,Aha-2-001880,Alsp-2-001751,Aru-a02-000695,.,Asu-1-005877,Asu-7-002019,Ath-1-006205,Bdiv-2-000903,Bst-2-002799,Cen-6-001844,Cen-14-000808,Cfle-7-000798,Chivh-2-004199,Cla-5-00386,Cne-2-003168,Cpl-442-000586,Crub-2-001897,Csa-9-002933,Csa-7-002341,Csa-16-002179,Eche-4-001413,.,Iind-7-000812,Mpe-13-000799,Mpyg-6-000742,Spar-5-001916,.,,,.
Aara-4-000257,Aare-2-001844,Aha-2-001881,Alsp-2-001752,Aru-a02-000694,Aru-b02-001323,.,Asu-7-002020,Ath-1-006206,Bdiv-2-000902,Bst-2-002800,Cen-6-001845,.,Cfle-7-000797,Chivh-2-004198,Cla-5-00387,Cne-2-003169,Cpl-442-000587,Crub-2-001898,Csa-9-002934,Csa-7-002342,Csa-16-002181,Eche-4-001414,Esal-1-000722,.,Mpe-13-000798,Mpyg-6-000741,Spar-5-001917,Tar-5-002433,,,Ggyn-8-000683
.,Aare-2-001845,Aha-2-001882,Alsp-2-001753,Aru-a02-000693,Aru-b02-001324,Asu-1-005878,Asu-7-002021,Ath-1-006207,Bdiv-2-000901,Bst-2-002801,Cen-6-001846,Cen-14-000807,Cfle-7-000796,Chivh-2-004197,Cla-5-00388,Cne-2-003195,Cpl-442-000588,Crub-2-001899,Csa-9-002935,Csa-7-002344,Csa-16-002182,.,.,Iind-7-000811,Mpe-13-000797,.,.,.,,,.
Aara-4-000256,Aare-2-001846,Aha-2-001883,Alsp-2-001754,Aru-a02-000692,Aru-b02-001325,Asu-1-005879,Asu-7-002022,Ath-1-006208,Bdiv-2-000900,Bst-2-002802,Cen-6-001847,Cen-14-000806,Cfle-7-000795,Chivh-2-004196,Cla-5-00389,Cne-2-003196,Cpl-442-000589,Crub-2-001900,Csa-9-002936,Csa-7-002345,Csa-16-002183,Eche-4-001416,Esal-1-000721,Iind-7-000809,Mpe-13-000796,Mpyg-6-000740,.,Tar-5-002434,,,Ggyn-8-000682
.,.,Aha-2-001884,Alsp-2-001755,Aru-a02-000691,Aru-b02-001326,Asu-1-005880,Asu-7-002023,Ath-1-006209,.,.,Cen-6-001848,Cen-14-000804,.,Chivh-2-004194,Cla-5-00390,Cne-2-003198,.,Crub-2-001901,Csa-9-002939,.,Csa-16-002185,Eche-4-001417,Esal-1-000720,Iind-7-000808,Mpe-13-000795,.,.,Tar-5-002435,,,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-2-001902,.,.,.,.,.,.,.,.,.,.,,,.
Aara-4-000254,.,Aha-2-001885,Alsp-2-001757,.,.,Asu-1-005884,Asu-7-002025,Ath-1-006213,Bdiv-2-000897,.,Cen-6-001850,Cen-14-000802,Cfle-7-000792,Chivh-2-004193,Cla-5-00392,.,Cpl-442-000591,Crub-2-001903,Csa-9-002940,Csa-7-002346,Csa-16-002187,.,Esal-1-000718,Iind-7-000807,Mpe-13-000793,Mpyg-6-000737,Spar-5-001920,.,,,.
Aara-4-000253,.,Aha-2-001886,Alsp-2-001758,.,.,Asu-1-005885,Asu-7-002026,Ath-1-006214,.,.,Cen-6-001851,.,Cfle-7-000791,Chivh-2-004192,Cla-5-00393,Cne-2-003202,Cpl-442-000592,Crub-2-001904,Csa-9-002941,Csa-7-002347,Csa-16-002189,Eche-4-001420,Esal-1-000717,Iind-7-000806,Mpe-13-000792,Mpyg-6-000736,.,Tar-5-002436,,,.
Aara-4-000265,Aare-2-001851,Aha-2-001887,Alsp-2-001759,Aru-a02-000690,.,Asu-1-005886,.,Ath-1-006215,Bdiv-2-000895,Bst-2-002807,Cen-6-001852,Cen-14-000801,Cfle-7-000790,Chivh-2-004191,Cla-5-00394,Cne-2-003203,.,Crub-2-001905,Csa-9-002942,Csa-7-002348,Csa-16-002190,Eche-4-001421,Esal-1-000715,Iind-7-000805,Mpe-13-000791,Mpyg-6-000733,.,Tar-5-002437,,,.
Aara-4-000266,Aare-2-001852,Aha-2-001888,Alsp-2-001760,Aru-a02-000689,Aru-b02-001328,Asu-1-005887,Asu-7-002027,Ath-1-006216,Bdiv-2-000894,Bst-2-002808,Cen-6-001853,Cen-14-000800,Cfle-7-000789,Chivh-2-004190,Cla-5-00395,Cne-2-003204,Cpl-442-000594,Crub-2-001906,Csa-9-002943,Csa-7-002349,Csa-16-002191,.,Esal-1-000714,Iind-7-000804,Mpe-13-000790,Mpyg-6-000732,Spar-5-001923,Tar-5-002438,,,Ggyn-8-000680
Aara-4-000267,.,Aha-2-001889,Alsp-2-001762,Aru-a02-000688,.,Asu-1-005889,Asu-7-002029,Ath-1-006218,Bdiv-2-000893,Bst-2-002809,Cen-6-001854,Cen-14-000798,.,Chivh-2-004189,Cla-5-00396,Cne-2-003205,.,Crub-2-001907,Csa-9-002944,Csa-7-002350,Csa-16-002192,Eche-4-001424,Esal-1-000713,Iind-7-000803,Mpe-13-000788,Mpyg-6-000731,.,Tar-5-002439,,,Ggyn-8-000679
.,Aare-2-001854,Aha-2-001890,Alsp-2-001763,Aru-a02-000687,Aru-b02-001330,Asu-1-005890,Asu-7-002030,Ath-1-006219,Bdiv-2-000892,Bst-2-002810,.,Cen-14-000797,.,Chivh-2-004188,.,Cne-2-003206,.,Crub-2-001908,Csa-9-002945,Csa-7-002351,Csa-16-002193,Eche-4-001425,Esal-1-000712,Iind-7-000802,.,Mpyg-6-000730,.,Tar-5-002440,,,Ggyn-8-000677
Aara-4-000268,.,Aha-2-001891,Alsp-2-001765,Aru-a02-000685,Aru-b02-001331,Asu-1-005892,Asu-7-002032,Ath-1-006221,Bdiv-2-000890,Bst-2-002812,Cen-6-001856,Cen-14-000795,Cfle-7-000785,Chivh-2-004185,Cla-5-00398,Cne-2-003208,Cpl-442-000598,Crub-2-001909,Csa-9-002947,Csa-7-002353,Csa-16-002194,.,Esal-1-000710,Iind-7-000800,Mpe-13-000786,Mpyg-6-000728,Spar-5-001927,Tar-5-002442,,,.
.,.,.,.,.,.,.,.,.,Bdiv-2-000889,Bst-2-002813,.,.,.,Chivh-2-004184,Cla-5-00399,Cne-2-003209,.,Crub-2-001910,Csa-9-002948,Csa-7-002354,Csa-16-002195,Eche-4-001428,Esal-1-000709,Iind-7-000799,Mpe-13-000785,.,.,.,,,.
Aara-4-000270,Aare-2-001858,Aha-2-001893,Alsp-2-001767,Aru-a02-000684,Aru-b02-001332,Asu-1-005894,Asu-7-002034,Ath-1-006223,Bdiv-2-000888,Bst-2-002814,Cen-6-001859,Cen-14-000793,Cfle-7-000783,Chivh-2-004183,Cla-5-00400,Cne-2-003210,Cpl-442-000600,Crub-2-001911,Csa-9-002949,Csa-7-002355,Csa-16-002196,Eche-4-001429,Esal-1-000708,Iind-7-000798,Mpe-13-000784,Mpyg-6-000726,Spar-5-001929,Tar-5-002444,,,Ggyn-8-000673
Aara-4-000271,Aare-2-001859,Aha-2-001894,Alsp-2-001768,Aru-a02-000683,Aru-b02-001333,Asu-1-005895,Asu-7-002035,Ath-1-006224,Bdiv-2-000887,Bst-2-002815,Cen-6-001860,Cen-14-000792,Cfle-7-000782,.,Cla-5-00401,Cne-2-003211,Cpl-442-000601,Crub-2-001912,Csa-9-002950,Csa-7-002356,Csa-16-002197,Eche-4-001430,Esal-1-000707,Iind-7-000797,Mpe-13-000783,Mpyg-6-000725,Spar-5-001930,.,,,Ggyn-8-000672
.,Aare-2-001861,.,Alsp-2-001769,Aru-a02-000682,Aru-b02-001334,Asu-1-005896,Asu-7-002036,Ath-1-006225,Bdiv-2-000885,Bst-2-002816,Cen-6-001861,.,Cfle-7-000780,Chivh-2-004182,Cla-5-00402,Cne-2-003213,.,Crub-2-001913,Csa-9-002951,Csa-7-002357,Csa-16-002198,.,Esal-1-000706,Iind-7-000796,Mpe-13-000782,.,.,.,,,.
.,Aare-2-001862,Aha-2-001895,Alsp-2-001770,Aru-a02-000681,Aru-b02-001335,Asu-1-005897,Asu-7-002037,Ath-1-006226,Bdiv-2-000884,Bst-2-002817,Cen-6-001862,Cen-14-000791,.,Chivh-2-004181,Cla-5-00403,Cne-2-003214,.,Crub-2-001914,Csa-9-002952,Csa-7-002358,Csa-16-002199,Eche-4-001431,Esal-1-000705,Iind-7-000795,Mpe-13-000781,Mpyg-6-000724,Spar-5-001931,Tar-5-002445,,,.
Aara-4-000272,Aare-2-001863,.,Alsp-2-001771,Aru-a02-000680,Aru-b02-001336,Asu-1-005898,Asu-7-002038,Ath-1-006227,Bdiv-2-000883,.,Cen-6-001863,Cen-14-000790,Cfle-7-000778,Chivh-2-004180,Cla-5-00404,Cne-2-003215,.,Crub-2-001915,Csa-9-002953,Csa-7-002359,Csa-16-002200,.,.,Iind-7-000794,Mpe-13-000780,.,.,Tar-5-002446,,,Ggyn-8-000671
Aara-4-000273,Aare-2-001864,.,Alsp-2-001772,Aru-a02-000679,.,Asu-1-005899,Asu-7-002039,.,Bdiv-2-000882,Bst-2-002819,Cen-6-001864,Cen-14-000789,Cfle-7-000777,Chivh-2-004178,Cla-5-00405,Cne-2-003216,Cpl-442-000603,Crub-2-001916,Csa-9-002954,Csa-7-002360,Csa-16-002201,.,Esal-1-000704,Iind-7-000793,Mpe-13-000779,Mpyg-6-000723,Spar-5-001932,.,,,.
Aara-4-000274,.,.,Alsp-2-001773,Aru-a02-000678,Aru-b02-001337,Asu-1-005900,Asu-7-002040,Ath-1-006229,.,Bst-2-002820,Cen-6-001865,Cen-14-000788,.,Chivh-2-004177,Cla-5-00406,Cne-2-003217,Cpl-442-000604,Crub-2-001917,Csa-9-002955,Csa-7-002361,Csa-16-002202,.,Esal-1-000703,Iind-7-000792,Mpe-13-000778,Mpyg-6-000722,Spar-5-001933,Tar-5-002447,,,.
Aara-4-000275,Aare-2-001866,.,Alsp-2-001774,Aru-a02-000677,Aru-b02-001338,Asu-1-005901,Asu-7-002041,Ath-1-006230,Bdiv-2-000878,Bst-2-002821,Cen-6-001866,.,.,Chivh-2-004176,Cla-5-00407,Cne-2-003218,Cpl-442-000605,Crub-2-001918,Csa-9-002956,Csa-7-002362,Csa-16-002203,.,Esal-1-000702,Iind-7-000791,Mpe-13-000777,Mpyg-6-000721,Spar-5-001934,Tar-5-002448,,,.
Aara-4-000277,Aare-2-001867,.,Alsp-2-001775,Aru-a02-000676,Aru-b02-001339,Asu-1-005902,Asu-7-002042,Ath-1-006231,.,.,Cen-6-001867,Cen-14-000787,Cfle-7-000774,.,Cla-5-00408,Cne-2-003219,Cpl-442-000606,Crub-2-001919,Csa-9-002957,Csa-7-002363,Csa-16-002204,.,Esal-1-000701,Iind-7-000790,Mpe-13-000776,Mpyg-6-000720,Spar-5-001936,.,,,.
.,Aare-2-001869,Aha-2-001897,Alsp-2-001776,.,.,Asu-1-005903,Asu-7-002044,Ath-1-006232,Bdiv-2-000876,.,.,.,.,Chivh-2-004174,Cla-5-00409,.,.,Crub-2-001920,Csa-9-002958,Csa-7-002364,Csa-16-002205,Eche-4-001433,.,.,.,.,.,.,,,.
Aara-4-000278,Aare-2-001870,.,Alsp-2-001777,Aru-a02-000675,.,Asu-1-005904,Asu-7-002046,Ath-1-006233,Bdiv-2-000875,Bst-2-002824,Cen-6-001868,Cen-14-000786,.,Chivh-2-004173,Cla-5-00410,Cne-2-003221,.,Crub-2-001921,Csa-9-002959,Csa-7-002365,Csa-16-002206,.,Esal-1-000699,Iind-7-000789,Mpe-13-000775,Mpyg-6-000719,.,.,,,.
Aara-4-000279,Aare-2-001871,Aha-2-001898,Alsp-2-001778,Aru-a02-000674,.,Asu-1-005905,Asu-7-002047,Ath-1-006234,Bdiv-2-000872,Bst-2-002825,Cen-6-001869,Cen-14-000785,.,.,Cla-5-00413,Cne-2-003224,Cpl-442-000608,Crub-2-001922,Csa-9-002962,Csa-7-002367,Csa-16-002210,Eche-4-001434,Esal-1-000698,Iind-7-000788,Mpe-13-000774,Mpyg-6-000718,Spar-5-001938,Tar-5-002449,,,.
Aara-4-000280,Aare-2-001872,Aha-2-001899,Alsp-2-001779,Aru-a02-000673,Aru-b02-001340,Asu-1-005906,Asu-7-002048,Ath-1-006235,Bdiv-2-000871,Bst-2-002826,Cen-6-001870,Cen-14-000784,Cfle-7-000771,.,Cla-5-00414,Cne-2-003225,.,Crub-2-001923,Csa-9-002964,Csa-7-002368,Csa-16-002211,Eche-4-001435,Esal-1-000697,Iind-7-000787,Mpe-13-000773,Mpyg-6-000717,Spar-5-001939,Tar-5-002450,,,Ggyn-8-000669
Aara-4-000283,.,.,Alsp-2-001785,Aru-a02-000670,Aru-b02-001341,Asu-1-005909,Asu-7-002051,Ath-1-006240,Bdiv-2-000868,Bst-2-002829,Cen-6-001873,Cen-14-000776,.,.,Cla-5-00420,Cne-2-003243,Cpl-442-000611,Crub-2-001924,Csa-9-002973,Csa-7-002378,Csa-16-002218,Eche-4-001437,Esal-1-000696,Iind-7-000779,Mpe-13-000768,Mpyg-6-000712,Spar-5-001941,Tar-5-002453,,,.
Aara-4-000284,Aare-2-001878,Aha-2-001902,Alsp-2-001786,.,.,Asu-1-005910,Asu-7-002052,Ath-1-006241,Bdiv-2-000867,Bst-2-002830,Cen-6-001874,Cen-14-000775,Cfle-7-000764,.,Cla-5-00421,Cne-2-003245,Cpl-442-000612,Crub-2-001925,Csa-9-002975,Csa-7-002380,Csa-16-002220,Eche-4-001438,Esal-1-000695,Iind-7-000776,Mpe-13-000767,Mpyg-6-000711,Spar-5-001942,.,,,Ggyn-8-000666
.,Aare-2-001879,Aha-2-001903,Alsp-2-001789,.,.,Asu-1-005911,Asu-7-002053,Ath-1-006242,.,Bst-2-002832,.,Cen-14-000773,Cfle-7-000763,Chivh-2-004169,.,Cne-2-003246,.,Crub-2-001926,Csa-9-002976,Csa-7-002382,Csa-16-002222,Eche-4-001439,Esal-1-000694,.,.,.,.,.,,,.
.,Aare-2-001881,Aha-2-001904,Alsp-2-001791,Aru-a02-000669,Aru-b02-001342,Asu-1-005912,Asu-7-002054,Ath-1-006244,.,Bst-2-002833,Cen-6-001875,Cen-14-000772,Cfle-7-000761,Chivh-2-004162,Cla-5-00422,Cne-2-003248,.,Crub-2-001927,Csa-9-002978,Csa-7-002384,Csa-16-002223,Eche-4-001440,Esal-1-000693,Iind-7-000775,Mpe-13-000766,Mpyg-6-000710,.,Tar-5-002454,,,Ggyn-8-000662
Aara-4-000285,.,Aha-2-001909,Alsp-2-001793,Aru-a02-000668,Aru-b02-001343,Asu-1-005916,Asu-7-002056,Ath-1-006248,.,.,Cen-6-001876,Cen-14-000768,.,.,Cla-5-00423,.,Cpl-442-000614,Crub-2-001928,.,Csa-7-002385,Csa-16-002225,Eche-4-001441,Esal-1-000692,Iind-7-000774,Mpe-13-000765,Mpyg-6-000709,.,.,,,.
Aara-4-000286,.,Aha-2-001910,Alsp-2-001794,Aru-a02-000667,Aru-b02-001344,Asu-1-005917,Asu-7-002057,Ath-1-006249,Bdiv-2-000864,Bst-2-002835,Cen-6-001877,Cen-14-000767,Cfle-7-000758,Chivh-2-004146,Cla-5-00424,Cne-2-003249,Cpl-442-000615,Crub-2-001929,Csa-9-002979,Csa-7-002386,Csa-16-002226,Eche-4-001442,Esal-1-000691,.,Mpe-13-000764,Mpyg-6-000708,Spar-5-001945,Tar-5-002455,,,Ggyn-8-000661
.,.,.,Alsp-2-001795,Aru-a02-000666,Aru-b02-001345,Asu-1-005918,Asu-7-002058,Ath-1-006250,Bdiv-2-000863,.,Cen-6-001878,Cen-14-000766,Cfle-7-000757,Chivh-2-004145,.,Cne-2-003250,.,Crub-2-001930,Csa-9-002980,Csa-7-002387,Csa-16-002227,.,.,Iind-7-000773,Mpe-13-000763,Mpyg-6-000707,.,.,,,
Aara-4-000287,.,.,Alsp-2-001796,.,Aru-b02-001346,Asu-1-005919,Asu-7-002059,Ath-1-006251,.,.,Cen-6-001879,Cen-14-000765,Cfle-7-000756,.,Cla-5-00425,.,Cpl-442-000618,Crub-2-001931,Csa-9-002981,Csa-7-002388,Csa-16-002228,.,Esal-1-000690,Iind-7-000772,Mpe-13-000762,Mpyg-6-000706,.,Tar-5-002456,,,Ggyn-8-000615
Aara-4-000288,Aare-2-001884,Aha-2-001911,Alsp-2-001797,.,.,Asu-1-005920,Asu-7-002060,Ath-1-006252,Bdiv-2-000862,Bst-2-002837,.,Cen-14-000763,Cfle-7-000755,Chivh-2-004144,Cla-5-00426,Cne-2-003251,.,Crub-2-001932,Csa-9-002982,Csa-7-002389,Csa-16-002229,Eche-4-001443,Esal-1-000689,Iind-7-000771,Mpe-13-000761,.,.,.,,,.
Aara-4-000289,Aare-2-001885,Aha-2-001912,Alsp-2-001798,Aru-a02-000665,Aru-b02-001347,Asu-1-005921,Asu-7-002061,Ath-1-006253,.,Bst-2-002838,Cen-6-001880,Cen-14-000762,Cfle-7-000754,Chivh-2-004143,Cla-5-00427,Cne-2-003252,Cpl-442-000619,Crub-2-001933,Csa-9-002983,Csa-7-002390,Csa-16-002230,Eche-4-001444,Esal-1-000688,Iind-7-000770,Mpe-13-000760,Mpyg-6-000704,Spar-5-001947,Tar-5-002457,,,Ggyn-8-000611
Aara-4-000293,Aare-2-001886,Aha-2-001913,Alsp-2-001799,Aru-a02-000664,Aru-b02-001348,Asu-1-005922,Asu-7-002062,Ath-1-006254,Bdiv-2-000859,Bst-2-002839,Cen-6-001881,Cen-14-000761,Cfle-7-000753,Chivh-2-004141,Cla-5-00428,Cne-2-003253,.,Crub-2-001934,Csa-9-002984,Csa-7-002391,Csa-16-002231,Eche-4-001445,Esal-1-000687,Iind-7-000769,Mpe-13-000759,Mpyg-6-000703,.,Tar-5-002458,,,Ggyn-8-000608
Aara-4-000294,Aare-2-001887,Aha-2-001914,Alsp-2-001800,.,Aru-b02-001349,Asu-1-005923,.,Ath-1-006255,Bdiv-2-000858,Bst-2-002840,Cen-6-001882,Cen-14-000760,Cfle-7-000752,Chivh-2-004139,Cla-5-00429,Cne-2-003254,Cpl-442-000621,Crub-2-001935,Csa-9-002985,Csa-7-002392,Csa-16-002232,Eche-4-001446,.,Iind-7-000768,Mpe-13-000758,.,Spar-5-001949,.,,,Ggyn-8-000607
.,.,.,Alsp-2-001801,Aru-a02-000663,.,Asu-1-005924,Asu-7-002063,Ath-1-006256,.,.,.,Cen-14-000759,.,Chivh-2-004138,Cla-5-00430,Cne-2-003255,.,Crub-2-001936,Csa-9-002986,.,Csa-16-002233,.,Esal-1-000686,.,Mpe-13-000757,.,.,Tar-5-002459,,,.
.,Aare-2-001889,Aha-2-001915,Alsp-2-001802,Aru-a02-000662,.,Asu-1-005925,Asu-7-002064,Ath-1-006257,Bdiv-2-000856,Bst-2-002842,Cen-6-001883,.,Cfle-7-000750,Chivh-2-004137,Cla-5-00431,Cne-2-003256,.,Crub-2-001937,Csa-9-002987,Csa-7-002393,Csa-16-002235,Eche-4-001447,Esal-1-000685,Iind-7-000767,Mpe-13-000756,Mpyg-6-000702,.,Tar-5-002460,,,.
